org,size,lat,lon,cat
North Atlantic Council of Carpenters, 10000, 42.4072, -71.3824,o
Brighton Rehab and Wellness Center, 20, 45.4889, -122.8014,h
Pilgrims Pride, 1000, 38.6390, -78.7739,f
Raymundo Food, 180, 41.8781, -87.6298,f
Purdue, 1000, 32.4960, -83.6077,f
Pittsburgh Department of Public Works, 100, 40.4406, -79.9959,t
Kroger Warehouse, 50, 35.1495, -90.0490,wf
Instacart, 1000, 40.7282239, -73.7948516,wf
Birmingham-Jefferson County Transit Authority, 100, 33.5186, -86.8104,t
Detroit Department of Transportation, 100, 42.3314, -83.0458,t
Amazon, 100, 42.2222614, -83.396599,wf
Bath Iron Works, 1000, 42.2222614, -69.815154,o
Perdue Farms, 100, 32.4943728, -83.6092531,f
JBS, 4000, 40.4233, -104.7091,f
Chrysler, 100, 42.5803122, -83.0302033,wf
Baltimore City Department of Public Works, 100, 39.2903848, -76.6121893,o
McDonalds, 20, 34.0522342, -118.2436849,f
McDonalds, 20, 37.3382082, -121.8863286,f
Burgerville, 20, 45.5051064, -122.6750261,f
McDonalds,20, 37.3750866, -121.9189437,f
Heine Brothers' Coffee, 20, 38.2306387, -85.5410257,f
McDonalds, 20, 38.6270025, -90.1994042,f
Publix, 100, 28.0394654, -81.9498042,f
Target, 1000, 44.9778, -93.2650,o
Whole Foods, 1000, 30.2672, -97.7431,f
Hershey's Chocolate, 100, 40.3089798, -76.5933012,f
Autocar, 50, 33.660301, -86.70984,wf
AutoParks, 50, 41.6475306, -88.0895061,wf
Detroit Medical Center, 20, 42.4186203, -83.1822091,h
McDonalds, 20, 41.8455877, -87.7539448,f
Refresco, 50, 40.897386, -74.5740657,f
Amazon, 100, 40.7624926, -73.9014243,wf
Live! Hotel & Casino, 50, 39.9091913, -75.1646617,o
General Electric, 1000, 42.453756, -70.9741394,wf
JBS, 100, 40.2939199, -75.3395781,f
Amazon, 100, 40.9222117, -76.0491657,wf
Masonite Door, 20, 44.6593776, -90.158351,o
Amazon, 100, 40.6195311, -74.187711,wf
McDonalds, 20, 26.1224386, -80.1373174,f
McDonalds, 20, 28.5383355, -81.3792365,f
Life Care Center, 20, 42.5280594, -71.4990991,h
Hospital Couriers, 20, 40.5795782, -105.0062499,h
Kroger Pharmacy, 100, 39.6221452, -79.9243842,h
UC Santa Cruz, 100, 36.9880503, -122.0582093,o
Domino's Pizza, 20, 34.023336, -118.3353796,f
