org, size, lat, lon
North Atlantic Council of Carpenters, 13000, 42.4072, -71.3824
Brighton Rehab and Wellness Center, 20, 45.4889, -122.8014
Pilgrims Pride, 1000, 38.6390, -78.7739
Raymundo Food, 180, 41.8781, -87.6298
Purdue, 1000, 32.4960, -83.6077
Pittsburgh Department of Public Works, 100, 40.4406, -79.9959
Kroger Warehouse, 50, 35.1495, -90.0490
Instacart, 1000, 40.7282239, -73.7948516
Birmingham-Jefferson County Transit Authority, 100, 33.5186, -86.8104
Detroit Department of Transportation, 100, 42.3314, -83.0458
Amazon, 100, 42.2222614, -83.396599
Bath Iron Works, 1000, 42.2222614, -69.815154
Perdue Farms, 100, 32.4943728, -83.6092531
JBS, 4000, 40.4233, -104.7091
Baltimore City Department of Public Works, 100, 39.2903848, -76.6121893
McDonalds, 20, 34.0522342, -118.2436849
McDonalds, 20, 37.3382082, -121.8863286
McDonalds, 20, 37.3750866, -121.9189437
Heine Brothers' Coffee, 20, 38.2306387, -85.5410257
McDonalds, 20, 38.6270025, -90.1994042
Publix, 100, 28.0394654, -81.9498042
Target, 1000, 44.9778, -93.2650
Whole Foods, 1000, 30.2672, -97.7431
Hershey's Chocolate, 100, 40.308978, -76.59
Autocar, 50, 33.660301, -86.70984
AutoParks, 50, 41.6475306, -88.0895061
Detroit Medical Center, 20, 42.4186203, -83.1822091
McDonalds, 20, 41.8455877, -87.7539448
Refresco, 50, 40.897386, -74.5740657 
Amazon, 100, 40.7624926, -73.9014243
Live! Hotel & Casino, 50, 39.9091913, -75.1646617
General Electric, 1000, 42.453756, -70.9741394
JBS, 100, 40.2939199, -75.3395781
